ID,type,axes,x,y
1,Triaxial,3,572304,9292327
2,Triaxial,3,572281,9292604
3,Triaxial,3,570743,9292412
4,Triaxial,3,570524,9292544
5,Triaxial,3,571500,9292244
7,Triaxial,3,571523,9292290
8,Triaxial,3,571480,9292203
9,Triaxial,3,571653,9292183
11,Uniaxial (z),1,571633,9292231
12,Uniaxial (z),1,571633,9292139
13,Uniaxial (z),1,571823,9292278
15,Uniaxial (z),1,571823,9292303
16,Uniaxial (z),1,571842,9292235
17,Uniaxial (z),1,571868,9292473
19,Uniaxial (z),1,571844,9292505
20,Uniaxial (z),1,571878,9292430